creator_id,total_posts,mean_p_promotional,frac_pred_promotional,median_like_rate,mean_like_rate,median_words
496c7fa096,56,0.10112109820967766,0.0,0.02780117944397641,0.033680461637304523,124.0
496cb24244,9,0.6598316149238788,0.7777777777777778,0.08176100628930817,0.09021592270215101,300.0
49709adf91,2,0.11838265288019006,0.0,0.009997274858692026,0.009997274858692026,142.0
498de7505b,10,0.19240547915417888,0.1,0.03395870453830835,0.04326801430677886,215.0
499fe123e1,7,0.7780222136181576,0.8571428571428571,0.0223463687150838,0.044894626704086324,571.0
49beedde12,2,0.25695672934956126,0.0,0.08511513834707751,0.08511513834707751,248.5
49c400315a,2,0.9085296304758705,1.0,0.02434448574969021,0.02434448574969021,803.0
49c57f9fa5,4,0.27663977401316,0.0,0.16725225782506495,0.1612035007885657,246.5
49e79e43e8,2,0.07435008825715529,0.0,0.1088235455190184,0.1088235455190184,49.5
49f35a17cb,1,0.6768339869421528,1.0,0.022813688212927757,0.022813688212927757,141.0
49f5d76993,2,0.7422560805438824,1.0,0.07993778068862276,0.07993778068862276,370.0
49f71fe44a,1,0.38971572315375896,0.0,0.01805869074492099,0.01805869074492099,36.0
4a04ca98d2,15,0.24540921281200348,0.06666666666666667,0.01918623883559378,0.022995588461832774,308.0
4a0e817292,9,0.11541750360989031,0.0,0.018467220683287166,0.02453383081466222,177.0
4a1bdae453,28,0.9051450020900641,1.0,0.02411940629153744,0.03065458317215169,464.0
4a2254c699,1,0.19815935801017776,0.0,0.005385029617662897,0.005385029617662897,374.0
4a29d54c5c,1,0.2722857548522416,0.0,0.0205761316872428,0.0205761316872428,110.0
4a330ba308,8,0.22203817946988552,0.0,0.02572691656783444,0.032040341616642036,255.5
4a40c0b24a,11,0.1414873264107424,0.0,0.0440251572327044,0.04662434286734097,211.0
4a41669d55,1,0.07266522318187167,0.0,0.042435424354243544,0.042435424354243544,98.0
4a4676db3a,2,0.45491074396154757,0.5,0.04040744738262278,0.04040744738262278,169.5
4a4686d87d,2,0.6538132079180707,1.0,0.009584664536741214,0.009584664536741214,205.0
4a490b343b,4,0.44272826320204056,0.5,0.0634572236854941,0.06432543770180355,239.5
4a49d9cec2,1,0.8990174516816343,1.0,0.08636363636363636,0.08636363636363636,467.0
4a693935da,1,0.9551587080532465,1.0,0.10977564102564102,0.10977564102564102,412.0
4a6ae41f97,3,0.6959452546456072,0.6666666666666666,0.05190311418685121,0.04987455607225788,413.0
4a6eb3b5c2,1,0.11099300385771356,0.0,0.08370535714285714,0.08370535714285714,312.0
4a8de56ed6,2,0.548783461690062,0.5,0.05167173252279635,0.05167173252279635,221.5
4a945ea428,1,0.764483659003917,1.0,0.030026109660574413,0.030026109660574413,276.0
4ad01c3d61,1,0.10900744232536429,0.0,0.007352941176470588,0.007352941176470588,173.0
4ad43b9b6d,22,0.15169571180560518,0.045454545454545456,0.10612858593856218,0.08990696375154004,196.5
4b00c8dce3,2,0.19373406100268192,0.0,0.01515452632473909,0.01515452632473909,40.0
4b0f21e84c,6,0.5909764985952282,0.6666666666666666,0.042324290347457716,0.045272065719788056,128.5
4b13af945e,1,0.13344326728510486,0.0,0.0049504950495049506,0.0049504950495049506,94.0
4b21035198,141,0.09605351889008011,0.0,0.07779978701477944,0.07633774870873423,262.0
4b2466a26f,5,0.13963698982933664,0.0,0.03587443946188341,0.062152439748534405,164.0
4b32e0d482,3,0.2284233878706353,0.0,0.03975095785440613,0.04106207139887987,454.0
4b38131e5a,1,0.9787442850071627,1.0,0.049019607843137254,0.049019607843137254,439.0
4b50454444,1,0.6067191355938825,1.0,0.02247191011235955,0.02247191011235955,145.0
4b57928cc1,4,0.37840242274431585,0.25,0.01615575807787904,0.017670727093583596,381.0
4b5e11c9d5,5,0.659544728967598,0.6,0.023054755043227664,0.018144521499587847,389.0
4b6fe2bb29,5,0.4259010380699581,0.2,0.06369426751592357,0.07074363299656242,545.0
4b6ffe269f,4,0.16517904946522427,0.0,0.009666629339770149,0.022101830088966205,120.5
4b78db075f,8,0.8030909006875708,1.0,0.044765446224256294,0.045180450423031905,208.0
4b7b4a6456,2,0.42420144892877093,0.5,0.050969899665551835,0.050969899665551835,286.5
4b871396af,1,0.21620155761112972,0.0,0.03154305200341006,0.03154305200341006,212.0
4bb77018c2,4,0.06614147469475204,0.0,0.04528576850464197,0.05037417049375483,44.5
4bc0ca478e,3,0.7528457675204713,0.6666666666666666,0.028283887199916133,0.028550739360095667,80.0
4bcfd17c64,1,0.15317894902902165,0.0,0.005545286506469501,0.005545286506469501,61.0
4bd1e51adb,1,0.1252962595870752,0.0,0.15591397849462366,0.15591397849462366,172.0
4bda3b43f5,1,0.11608536702917302,0.0,0.011851851851851851,0.011851851851851851,109.0
4bea323fbe,1,0.12685006780582156,0.0,0.012345679012345678,0.012345679012345678,104.0
4bf267414c,7,0.7016475109565009,0.8571428571428571,0.004081632653061225,0.03280559229925519,725.0
4c0869a215,51,0.8311417167279695,0.9803921568627451,0.0625,0.07917273011012707,201.0
4c1d394120,8,0.700300827662633,0.75,0.027849785619240057,0.046567499610788016,310.0
4c32cf664f,54,0.12989619860023285,0.018518518518518517,0.05357302115744311,0.05625599500579827,340.0
4c3e47a0b6,1,0.5773224628842135,1.0,0.017204301075268817,0.017204301075268817,112.0
4c4214c010,1,0.9761846656430847,1.0,0.00794912559618442,0.00794912559618442,263.0
4c47c5180e,2,0.12186540119050827,0.0,0.13127471821740244,0.13127471821740244,105.0
4c4af86031,1,0.09993379106826451,0.0,0.08365019011406843,0.08365019011406843,193.0
4c570b7155,2,0.9362436039959559,1.0,0.06971214435991215,0.06971214435991215,213.5
4c5d22c996,1,0.5781746284292458,1.0,0.09444444444444444,0.09444444444444444,1222.0
4c5dc13416,1,0.4285923477929334,0.0,0.03883359687470933,0.03883359687470933,302.0
4c5f318956,1,0.005186275645910754,0.0,0.05692438402718777,0.05692438402718777,292.0
4c65e472bb,2,0.36976297742984404,0.0,0.023661604540573707,0.023661604540573707,190.5
4c670ef67c,1,0.9844084443021174,1.0,0.008771929824561403,0.008771929824561403,179.0
4c8be2abaa,3,0.6292312636827266,0.6666666666666666,0.01956521739130435,0.0338928685776888,241.0
4ca1807b0a,10,0.1657886659333911,0.0,0.009070727700572748,0.009776655555671357,60.5
4ca1c27846,2,0.16797974546231814,0.0,0.05458396802893156,0.05458396802893156,203.0
4ca2955646,35,0.5149442758667531,0.45714285714285713,0.03052064631956912,0.03968578360887057,215.0
4caafc8361,2,0.07365092325426428,0.0,0.08777376629410522,0.08777376629410522,208.0
4cb315455b,1,0.1228870987352129,0.0,0.011824324324324325,0.011824324324324325,118.0
4cb57198b6,3,0.13439269855011904,0.0,0.03514376996805112,0.04431579584637019,163.0
4cb843de5e,14,0.2918351077175667,0.21428571428571427,0.06393393111923433,0.0602963163575854,166.5
4cd9629b15,1,0.4739303376782739,0.0,0.020162087369045265,0.020162087369045265,90.0
4cf9059abc,1,0.6770563555825697,1.0,0.007518796992481203,0.007518796992481203,69.0
4cfdc797da,3,0.12081470421595648,0.0,0.02292768959435626,0.0221880177435733,110.0
4d0cbfe018,19,0.24158519716276883,0.0,0.02177068214804064,0.0208673760541213,258.0
4d19bcb21b,9,0.8676165805442699,1.0,0.04667609618104668,0.04503033178408093,515.0
